74f5e24e9641d9668bffdc61cfcfa718.(4, 2).Apex
d4aea072a4d82c259b1c6322dc4b650a.(8, 18).Apex
1bb0466c467ad147fa770ae552afdb45.(7, 9).Apex
e4730539ff132950b9f794e6c42e8042.(16, 17).Apex
4fb852ec14462e823ccc18ab597d17b6.(31, 11).Apex
1b4b8b00a1be6322acc0a3232c0e902d.(14, 15).Apex
6eef518602a7cd948f9f4698d3515a9f.(3, 2).Apex
559deec06532af818dc647a493e9e9dc.(0, 2).Apex
63310a5e17e811681d048ee50bff3ac2.(20, 16).Apex
1884b63b7e64eae77c5a882b7904a99b.(3, 5).Apex
d4aea072a4d82c259b1c6322dc4b650a.(8, 12).Apex
4fb852ec14462e823ccc18ab597d17b6.(32, 33).Apex
291b89defbbe4a497ff51c7d8d63f47c.(3, 9).Apex
0d0f8d64973f708c799e4e49d6909dfd.(23, 14).Apex
559deec06532af818dc647a493e9e9dc.(22, 24).Apex
5af90fdafd59b525226aefa2ffc9fd00.(18, 19).Apex
c43abed7f15effb4bbf9b56cd5cdb4e1.(4, 18).Apex
80cb6fbb20332fa22c5eba0f351a1901.(17, 3).Apex
559deec06532af818dc647a493e9e9dc.(6, 7).Apex
32ea776ee4efc0b2bbcd509ec2656593.(4, 5).Apex
b04a1b6bbf5356e9d6ebf7e31273b479.(10, 12).Apex
3f3779a73e73c8430f134c2c7dca084f.(13, 14).Apex
7b185dc9dc52f36cb42d1ebf9b7745f6.(1, 22).Apex
862e0d8256d5175b4c962e3c6454f2af.(5, 2).Apex
03e1cd38959d29902a3f05c616118533.(7, 10).Apex
6513c98716058aac2f83fc6564af3fd0.(18, 19).Apex
972c9a8ae7cdb01c2d55a7fe93e6ecd2.(1, 15).Apex
4e76cc39ae9044560ecd410fbbf8ce76.(9, 10).Apex
6513c98716058aac2f83fc6564af3fd0.(26, 27).Apex
83e9f5a06e9e14fe2fc55a1563f15ee0.(10, 11).Apex
63310a5e17e811681d048ee50bff3ac2.(27, 25).Apex
fe7e064c5f0fe9bf989fab990cc0ea99.(18, 19).Apex
1884b63b7e64eae77c5a882b7904a99b.(8, 7).Apex
291b89defbbe4a497ff51c7d8d63f47c.(4, 6).Apex
b3d6250f8c0e2d723e032191144e6c20.(3, 1).Apex
554c4ad0dd6259a9c61e4817388e8064.(22, 23).Apex
cb2481936526033884407b90cc7ee91a.(4, 5).Apex
63310a5e17e811681d048ee50bff3ac2.(20, 21).Apex
d207950b5632304baf3d4d84342cf373.(2, 1).Apex
1b4b8b00a1be6322acc0a3232c0e902d.(24, 25).Apex
d460f81b43998cfb748cde2be9836aec.(22, 23).Apex
168375c1396ae73de3fde98510ddc928.(8, 9).Apex
e84bda7445af61e44a722324fcdbccf7.(16, 10).Apex
1b4b8b00a1be6322acc0a3232c0e902d.(21, 25).Apex
9151bec746be1369933e0711724fabba.(41, 4).Apex
8fd7717f6f4b86db0002350fe4354721.(15, 23).Apex
bf481030e644dc8ef932d183242a13dd.(7, 9).Apex
559deec06532af818dc647a493e9e9dc.(0, 24).Apex
625d471844b0c4831e1c2656db644042.(6, 2).Apex
29d2614f705ec8f146e4eddeb3c87bcf.(8, 17).Apex
2025b4edf2d69fbd4b39760b1f763881.(10, 12).Apex
861504db448efd462039eef3646bd387.(0, 2).Apex
9b11689d3b0c95dc2f00e7b8943b4934.(4, 5).Apex
bbe63f0328f52170d91cf129c76fd211.(2, 3).Apex
d460f81b43998cfb748cde2be9836aec.(2, 6).Apex
862e0d8256d5175b4c962e3c6454f2af.(5, 7).Apex
9947e0d4813586c77a652fb805fbac2e.(40, 43).Apex
5af90fdafd59b525226aefa2ffc9fd00.(9, 33).Apex
ef8c9c3238c0997f0a50179e0167afa6.(15, 18).Apex
f79b17a89c5ad1b3a2e790a644f71628.(0, 2).Apex
fe7e064c5f0fe9bf989fab990cc0ea99.(18, 15).Apex
d8105077a4434e718fee25bbe1966b63.(10, 7).Apex
304678fb79adc7d18bc570816e65c16f.(5, 6).Apex
52dcfd70b988f7387128d0690c5725e0.(1, 2).Apex
972c9a8ae7cdb01c2d55a7fe93e6ecd2.(12, 2).Apex
882f8c2afb0b7af577d6c9ab03ee0778.(13, 8).Apex
6513c98716058aac2f83fc6564af3fd0.(6, 12).Apex
d1f50b170c43b383723518bc9faf225b.(16, 18).Apex
21b5b1779d52da82b0a477fbf05b65d0.(9, 10).Apex
75a1c2102d97efb4fbb45ac6e92cc92c.(6, 7).Apex
e4730539ff132950b9f794e6c42e8042.(14, 17).Apex
de26e922f5cfd35c976f25852b35be7d.(13, 14).Apex
d460f81b43998cfb748cde2be9836aec.(2, 4).Apex
d8105077a4434e718fee25bbe1966b63.(24, 7).Apex
9151bec746be1369933e0711724fabba.(41, 42).Apex
9bda6f3b3d54d3179789e2d0c3aa99fa.(6, 7).Apex
726152eaeaf36e106f50419011dfab6a.(13, 14).Apex
9151bec746be1369933e0711724fabba.(37, 38).Apex
76d840b24bd2063c716af94af9053f6b.(13, 14).Apex
e4730539ff132950b9f794e6c42e8042.(21, 17).Apex
a475cd1c0454d10a130c0e05e28e193d.(11, 12).Apex
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 28).Apex
b471b2d427e623361da6a9861a24aef8.(2, 3).Apex
e603c6f4fbf730e9d4e0fb6cdebbc90a.(10, 3).Apex
4fb852ec14462e823ccc18ab597d17b6.(31, 33).Apex
9b11689d3b0c95dc2f00e7b8943b4934.(9, 5).Apex
4ee6d1359bfe9bbb24c18ef20aa068d0.(25, 22).Canon
4ee8d0b641c875e17446b74fd975c596.(5, 6).Canon
c12f2cbdc52ec5949ef5f7247c336b99.(17, 18).Canon
5d8b5507ce45f152c58e301e745b132e.(3, 2).Canon
8125b34510fad206a46ff327585af3a6.(5, 7).Canon
ee59320ea439564bfb6e244ed61ae28d.(6, 8).Canon
315c1b71c3150d8e7f65cc42175f4817.(7, 8).Canon
7b864546c446967ac419696b3efe756b.(13, 11).Canon
5b3c35f2d0200b492eb1d84caff2bd26.(2, 7).Canon
8125b34510fad206a46ff327585af3a6.(16, 13).Canon
3bce35cc8493a2cd4c47a2a358643b7c.(5, 3).Canon
865f5ce19fc754d56e712de777b1bcae.(24, 25).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(45, 30).Canon
20c5a2780290c04a8fff006233aee834.(22, 30).Canon
20c5a2780290c04a8fff006233aee834.(28, 30).Canon
c97426f7e6b7627ae5bb73ee0fe03b0b.(5, 6).Canon
6fe1a6cfcc61bb420320d4d66e4e64c4.(10, 6).Canon
2cda4bc7420f9d9ce26921a41fbe9f75.(5, 6).Canon
a7d8e305d570d95f2e66cc869353dc9a.(12, 9).Canon
511a23f3a4fe98af1bf9d231291e4dff.(3, 14).Canon
07b3bdbafaec9f6df8f50960a8c49f11.(23, 15).Canon
0c497fa3be9389b212b112840b0bb06e.(3, 4).Canon
865f5ce19fc754d56e712de777b1bcae.(16, 17).Canon
4f4ce92984a186b080eef02938290fa5.(2, 3).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(0, 17).Canon
2d02822aaf070b5602c867e2c6872e5d.(8, 9).Canon
6fe1a6cfcc61bb420320d4d66e4e64c4.(4, 6).Canon
20c5a2780290c04a8fff006233aee834.(52, 29).Canon
c9e60af8c804cc7bc30a164554f7375d.(18, 13).Canon
d189707ad42028eec72db14fec45c699.(22, 23).Canon
b43eea60a6e26ef2d546c1544c0e533f.(16, 17).Canon
00d2f82e48aec8fa7159c18aacd4231e.(11, 13).Canon
493500669cab1a2ef28578fd9b1d5279.(2, 16).Canon
e2aef133b34cdd27cfe0ae786a800c64.(17, 18).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(38, 28).Canon
0e6be374d76b6035fc000c221a4e5d9c.(1, 2).Canon
8cff8b3bb4b722f290108da2b2fcc548.(10, 32).Canon
41d67c7360f1eaff9b82be88ea00f3d7.(15, 17).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(6, 7).Canon
3dd55b27114ec5fd6815b8c30aa6e44f.(22, 21).Canon
ab5381ff92d93f31f37a3da98c2c14a6.(9, 10).Canon
4a44a69cb955602ceffa932a795dd6aa.(5, 1).Canon
e4ef0ebc749295bdb2fcb874531a583e.(0, 1).Canon
65037ef283c79017feb83dc35b38876e.(11, 12).Canon
511a23f3a4fe98af1bf9d231291e4dff.(3, 5).Canon
031b904a61e903f18f947e9c55fd4cfa.(3, 5).Canon
41d67c7360f1eaff9b82be88ea00f3d7.(29, 10).Canon
c987fcf46ffc653deb0043f19e9b0e71.(7, 8).Canon
d189707ad42028eec72db14fec45c699.(15, 9).Canon
86b3450ce22023f2c9edfbb1431b515e.(0, 1).Canon
c9e60af8c804cc7bc30a164554f7375d.(18, 32).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(50, 3).Canon
f4d33ef7024c0c93baef74d60978635e.(13, 4).Canon
7a6127bd06125c9102ab880f8919a4d0.(12, 24).Canon
53ad4baf0995d0de9a707cf242ae5fe5.(5, 16).Canon
075cbfa6d23b531fc7100bc9ad7dcd00.(1, 2).Canon
c12f2cbdc52ec5949ef5f7247c336b99.(14, 18).Canon
865f5ce19fc754d56e712de777b1bcae.(24, 17).Canon
f33e57d6d1b0be40187d83879a82c9ea.(2, 3).Canon
1a0d68ac376b768e92b8dca25c428ee4.(12, 6).Canon
4a93d8f10f505f7246805579982dd792.(11, 27).Canon
3dd55b27114ec5fd6815b8c30aa6e44f.(3, 9).Canon
e4e579de7f6a6a60872e54f2bea20df1.(8, 1).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(15, 17).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(50, 7).Canon
511a23f3a4fe98af1bf9d231291e4dff.(4, 2).Canon
6fe1a6cfcc61bb420320d4d66e4e64c4.(7, 6).Canon
449b83653dd0d66d7d910483ebd3238b.(7, 8).Canon
5ac53d99601e0ac19ef6cc71435053f3.(7, 8).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(50, 30).Canon
511a23f3a4fe98af1bf9d231291e4dff.(4, 5).Canon
c9e60af8c804cc7bc30a164554f7375d.(18, 5).Canon
8125b34510fad206a46ff327585af3a6.(6, 7).Canon
4a93d8f10f505f7246805579982dd792.(26, 27).Canon
c9e60af8c804cc7bc30a164554f7375d.(4, 32).Canon
03ba56f0d39bdcc405e0e8c231587f54.(3, 5).Canon
5d3199c4c10ac5b497205480f52f828d.(5, 6).Canon
861626d0cc4cc5ae19684d4b8d53194c.(13, 12).Canon
66817f1a7ea8fb5f8cfe69f9bb6c0c2f.(10, 1).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(25, 39).Canon
20c5a2780290c04a8fff006233aee834.(28, 15).Canon
e30184599d5c95a24e9a14a132efb341.(1, 3).Canon
1bea3ea293d255cd27ba76a46ede23ef.(1, 2).Canon
07b3bdbafaec9f6df8f50960a8c49f11.(23, 24).Canon
eb9a1fbd573dfc4c6bb5d2860fe69826.(8, 9).Canon
7ce68523e9bd23cb9fa8f5c8bfadfa9f.(23, 28).Canon
075cbfa6d23b531fc7100bc9ad7dcd00.(1, 24).Canon
3797f31b7e658ca2289e807be4ce0066.(20, 22).Canon
20c5a2780290c04a8fff006233aee834.(28, 29).Canon
8125b34510fad206a46ff327585af3a6.(5, 13).Canon
4a44a69cb955602ceffa932a795dd6aa.(0, 1).Canon
8cff8b3bb4b722f290108da2b2fcc548.(10, 11).Canon
4f4ce92984a186b080eef02938290fa5.(25, 26).Canon
861626d0cc4cc5ae19684d4b8d53194c.(11, 12).Canon
48c9089c4729e58f320f3da81288ee13.(17, 19).Canon
d94ba22ec1c68f129a09d111449a5e89.(11, 13).Canon
c011703935a9bcb4fe2a8bf0e1e00a40.(6, 4).Canon
96a3c89de3083b68a7e7476e1f55d023.(1, 21).Canon
e2aef133b34cdd27cfe0ae786a800c64.(24, 25).Canon
f4d33ef7024c0c93baef74d60978635e.(3, 4).Canon
8cff8b3bb4b722f290108da2b2fcc548.(35, 11).Canon
68f771352d0e49722a16c9efbc7c8342.(5, 7).Canon
80ccab7499b52c8d7a9bb1f85ab5e9d6.(4, 5).Canon
d00579c5aee168118aee6243ff803b1c.(3, 5).Canon
1f8107d369d0a9aff676c54f789d4256.(12, 13).Canon
17ea77f8baef8743561f50cf960f3ff5.(10, 7).Canon
7ce68523e9bd23cb9fa8f5c8bfadfa9f.(26, 27).Canon
d189707ad42028eec72db14fec45c699.(8, 16).Canon
07b3bdbafaec9f6df8f50960a8c49f11.(14, 15).Canon
e4e579de7f6a6a60872e54f2bea20df1.(5, 1).Canon
8125b34510fad206a46ff327585af3a6.(10, 7).Canon
e2aef133b34cdd27cfe0ae786a800c64.(21, 22).Canon
861626d0cc4cc5ae19684d4b8d53194c.(10, 12).Canon
e4e579de7f6a6a60872e54f2bea20df1.(8, 9).Canon
c014bc886849ad4649bc5b4f66967a90.(2, 3).Canon
9c511d7377199e39382403fcb7e09331.(1, 3).Canon
061d8f8a6d7c08ee50f8cc4d4e1b0344.(1, 13).Canon
d5ff58c43fef03e404437a12b2520326.(9, 11).Canon
9912ee61adbc16ba2940f26778c640d0.(14, 12).Canon
f774d50a8c6d2e482b4e764362bf0ccb.(9, 11).Canon
7ce68523e9bd23cb9fa8f5c8bfadfa9f.(27, 28).Canon
8125b34510fad206a46ff327585af3a6.(12, 13).Canon
865f5ce19fc754d56e712de777b1bcae.(16, 25).Canon
1e4f51a49d87c73315e133f37c3a3ce3.(3, 5).Canon
3f56f9123b8ffd9edf96d25020e6c445.(1, 2).Canon
ca1eaed91c3e55f4cceab5acd302386c.(6, 7).Canon
eae3fa8ec5597ddf6e714868e7a3068d.(3, 5).Canon
4ee6d1359bfe9bbb24c18ef20aa068d0.(25, 27).Canon
a7d8e305d570d95f2e66cc869353dc9a.(15, 17).Canon
eae3fa8ec5597ddf6e714868e7a3068d.(4, 5).Canon
48c9089c4729e58f320f3da81288ee13.(18, 19).Canon
5e8d37c7fc800e394540cc47e42d3496.(7, 3).Canon
be379679dac602b9b58a047cfe52bfb9.(31, 33).Canon
4f4ce92984a186b080eef02938290fa5.(17, 18).Canon
333577d10a0d5606224f46a9898698e1.(1, 2).Canon
a4bf04bb2ffffdf15f1e93ccd942ba31.(2, 5).Canon
c9e60af8c804cc7bc30a164554f7375d.(12, 5).Canon
03ba56f0d39bdcc405e0e8c231587f54.(4, 5).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(38, 39).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(18, 17).Canon
5b3c35f2d0200b492eb1d84caff2bd26.(2, 3).Canon
9912ee61adbc16ba2940f26778c640d0.(8, 9).Canon
df9d18fa4b2ff7598d3524494f2cffb9.(8, 9).Canon
67b82e06f82e9130f9d542e0ab393f06.(4, 6).Canon
4a44a69cb955602ceffa932a795dd6aa.(9, 12).Canon
b39d64cf16678723054310d16f83cb20.(16, 17).Canon
4f4ce92984a186b080eef02938290fa5.(24, 26).Canon
59eae132b2cb15aee8885c0e6c8856d1.(11, 12).Canon
e4ef0ebc749295bdb2fcb874531a583e.(0, 2).Canon
061d8f8a6d7c08ee50f8cc4d4e1b0344.(1, 7).Canon
20c5a2780290c04a8fff006233aee834.(52, 53).Canon
17ecb94e8bd613415517e78ec1f1c520.(15, 5).Canon
ab5381ff92d93f31f37a3da98c2c14a6.(7, 10).Canon
5f746eb360f99eec03f4c5b8efb8f138.(12, 13).Canon
f4d33ef7024c0c93baef74d60978635e.(13, 14).Canon
5e8d37c7fc800e394540cc47e42d3496.(2, 19).Canon
48bcb8b7a73b431d17faa7c86416eb2c.(3, 5).Canon
922bdfb560dc1c43d64652c25daaa354.(4, 5).Canon
7f28bc07721c2e384997b2808526e775.(1, 3).Canon
20c5a2780290c04a8fff006233aee834.(22, 15).Canon
3d44c865026753694c91909c1268f652.(15, 16).Canon
e4ef0ebc749295bdb2fcb874531a583e.(4, 5).Canon
8cff8b3bb4b722f290108da2b2fcc548.(39, 32).Canon
333e87ce30ba03bd6f411b6b04304e07.(5, 6).Canon
921a0e8cd129e569ee56a67d7ae96da1.(1, 2).Canon
4af1a9d196ac9035aeb134474256ef16.(3, 4).Canon
68f771352d0e49722a16c9efbc7c8342.(6, 7).Canon
4a44a69cb955602ceffa932a795dd6aa.(5, 4).Canon
d0b638f07549767cb3b25c3f2d07ce93.(5, 6).Canon
dfb1e702c3280b5fd148ea2e3efce750.(11, 23).Canon
c9e60af8c804cc7bc30a164554f7375d.(4, 19).Canon
0edeb8de7afc625a933b4c41f00abaf8.(40, 41).Canon
16cd32323d48271d45afd13c1449f1f2.(7, 3).Canon
5d8b5507ce45f152c58e301e745b132e.(9, 2).Canon
be379679dac602b9b58a047cfe52bfb9.(19, 20).Canon
be379679dac602b9b58a047cfe52bfb9.(10, 14).Canon
4af1a9d196ac9035aeb134474256ef16.(3, 16).Canon
41a7310667e145525710b6cac52c2c41.(2, 3).Canon
28625e5528127fc1474b0e6dad55a8cb.(13, 4).Canon
20213c2657b8735b886c7d729880f2ad.(10, 11).Canon
20213c2657b8735b886c7d729880f2ad.(22, 23).Canon
6fe1a6cfcc61bb420320d4d66e4e64c4.(1, 6).Canon
dbec951619c24117174bfb3323091148.(1, 3).Canon
f11b6493f562e48e09dd1f455dcac0d3.(4, 0).Canon
ea03c1eca4f4843d18fa28fa8e577b5c.(25, 28).Canon
ab5381ff92d93f31f37a3da98c2c14a6.(8, 10).Canon
7ce68523e9bd23cb9fa8f5c8bfadfa9f.(31, 32).Canon
0edeb8de7afc625a933b4c41f00abaf8.(16, 43).Canon
f11b6493f562e48e09dd1f455dcac0d3.(12, 13).Canon
4ee6d1359bfe9bbb24c18ef20aa068d0.(20, 22).Canon
28625e5528127fc1474b0e6dad55a8cb.(9, 4).Canon
38c47be19193cb76675feafd049a684c.(26, 27).Canon
41d67c7360f1eaff9b82be88ea00f3d7.(13, 12).Canon
20c5a2780290c04a8fff006233aee834.(52, 23).Canon
c9e60af8c804cc7bc30a164554f7375d.(12, 13).Canon
07b3bdbafaec9f6df8f50960a8c49f11.(13, 24).Canon
